Year,Age,Female,Male,Total,OpenInterval
2004,40,8.3e-4,0.002269,0.001571,FALSE
2004,41,9.76e-4,0.002627,0.001829,FALSE
2004,42,0.001118,0.002752,0.001954,FALSE
2004,43,0.001286,0.003326,0.002317,FALSE
2004,44,0.001363,0.003515,0.00245,FALSE
2004,45,0.001346,0.003828,0.002609,FALSE
2004,46,0.001442,0.004306,0.002907,FALSE
2004,47,0.001646,0.004729,0.003218,FALSE
2004,48,0.001666,0.005033,0.003362,FALSE
2004,49,0.001874,0.00549,0.003697,FALSE
2004,50,0.00193,0.005888,0.003932,FALSE
2004,51,0.00203,0.006353,0.0042,FALSE
2004,52,0.002444,0.007264,0.004866,FALSE
2004,53,0.00234,0.007305,0.004834,FALSE
2004,54,0.002832,0.00826,0.005554,FALSE
2004,55,0.002756,0.008596,0.005679,FALSE
2004,56,0.003001,0.009041,0.006001,FALSE
2004,57,0.003541,0.010214,0.00684,FALSE
2004,58,0.003551,0.010199,0.006828,FALSE
2004,59,0.004093,0.011596,0.0077210000000000004,FALSE
2004,60,0.004555,0.012182,0.008187,FALSE
2004,61,0.004987,0.014081,0.009311,FALSE
2004,62,0.005688,0.01603,0.010583,FALSE
2004,63,0.00605,0.016621,0.010983,FALSE
2004,64,0.007096,0.019124,0.012644,FALSE
2004,65,0.007811,0.020027,0.013389,FALSE
2004,66,0.008897,0.02249,0.01503,FALSE
2004,67,0.010174,0.026149,0.017269,FALSE
2004,68,0.011425,0.027811,0.018546,FALSE
2004,69,0.013052,0.029877,0.020194,FALSE
2004,70,0.015096,0.033188,0.02258,FALSE
2004,71,0.016864,0.036715,0.024826,FALSE
2004,72,0.019778,0.041956,0.028362,FALSE
2004,73,0.021521,0.043688,0.029686,FALSE
2004,74,0.025747,0.051385,0.035007,FALSE
2004,75,0.029594,0.054728,0.038572,FALSE
2004,76,0.033954,0.059931,0.042957,FALSE
2004,77,0.039383,0.068968,0.049483,FALSE
2004,78,0.043873,0.073464,0.053787,FALSE
2004,79,0.0502,0.081376,0.060774,FALSE
2004,80,0.054447,0.089425,0.066037,FALSE
2004,81,0.070353,0.105304,0.081486,FALSE
2004,82,0.074071,0.111429,0.085667,FALSE
2004,83,0.083944,0.121887,0.09561,FALSE
2004,84,0.094192,0.131664,0.105574,FALSE
2004,85,0.104238,0.141135,0.115075,FALSE
2004,86,0.120257,0.162722,0.131939,FALSE
2004,87,0.134999,0.184734,0.147728,FALSE
2004,88,0.153861,0.189561,0.162499,FALSE
2004,89,0.161316,0.20277,0.170872,FALSE
2004,90,0.17349,0.231078,0.186016,FALSE
2004,91,0.200068,0.253516,0.211281,FALSE
2004,92,0.226612,0.251556,0.231823,FALSE
2004,93,0.253201,0.270774,0.256889,FALSE
2004,94,0.242908,0.277911,0.250201,FALSE
2004,95,0.298101,0.341691,0.306499,FALSE
2004,96,0.284289,0.331543,0.292357,FALSE
2004,97,0.332445,0.379882,0.340011,FALSE
2004,98,0.332171,0.327706,0.331489,FALSE
2004,99,0.37315,0.451754,0.384085,FALSE
2004,100,0.444745,0.354241,0.433137,FALSE
2004,101,0.482468,0.365136,0.467764,FALSE
2004,102,0.521638,0.381137,0.505309,FALSE
2004,103,0.56366,0.410582,0.54764,FALSE
2004,104,0.610019,0.460289,0.596384,FALSE
2004,105,0.661824,0.535082,0.652148,FALSE
2004,106,0.726812,0.968182,0.737118,FALSE
2004,107,0.818781,NA,0.818781,FALSE
2004,108,0.943318,NA,0.943318,FALSE
2004,109,1.202335,NA,1.202335,FALSE
2004,110,2.190231,NA,2.190231,TRUE
2005,0,0.004122,0.004391,0.004261,FALSE
2005,1,4.56e-4,4.42e-4,4.49e-4,FALSE
2005,2,2.23e-4,3.12e-4,2.69e-4,FALSE
2005,3,2.08e-4,3.29e-4,2.71e-4,FALSE
2005,4,1.35e-4,2.63e-4,2.02e-4,FALSE
2005,5,1.79e-4,2.21e-4,2.01e-4,FALSE
2005,6,1.7e-4,2.31e-4,2.02e-4,FALSE
2005,7,1.62e-4,1.98e-4,1.8e-4,FALSE
2005,8,1.39e-4,2.08e-4,1.75e-4,FALSE
2005,9,1.12e-4,1.65e-4,1.4e-4,FALSE
2005,10,1.15e-4,1.43e-4,1.3e-4,FALSE
2005,11,1.26e-4,1.31e-4,1.29e-4,FALSE
2005,12,1.3e-4,1.71e-4,1.52e-4,FALSE
2005,13,1.36e-4,1.69e-4,1.54e-4,FALSE
2005,14,1.39e-4,2.11e-4,1.77e-4,FALSE
2005,15,1.53e-4,3e-4,2.31e-4,FALSE
2005,16,2.02e-4,3.57e-4,2.83e-4,FALSE
2005,17,2.4e-4,3.93e-4,3.2e-4,FALSE
2005,18,2.9e-4,4.77e-4,3.88e-4,FALSE
2005,19,2.26e-4,5.06e-4,3.72e-4,FALSE
2005,20,3.22e-4,5.48e-4,4.39e-4,FALSE
2005,21,3.85e-4,5.59e-4,4.75e-4,FALSE
2005,22,4.17e-4,5.81e-4,5.01e-4,FALSE
2005,23,4.27e-4,5.66e-4,4.98e-4,FALSE
2005,24,3.81e-4,6.54e-4,5.21e-4,FALSE
2005,25,4.48e-4,7.48e-4,6.01e-4,FALSE
2005,26,4.55e-4,6.51e-4,5.55e-4,FALSE
2005,27,4.3e-4,7.54e-4,5.96e-4,FALSE
2005,28,4e-4,7.79e-4,5.93e-4,FALSE
2005,29,4.79e-4,7.5e-4,6.17e-4,FALSE
2005,30,5.3e-4,9.09e-4,7.23e-4,FALSE
2005,31,5.06e-4,0.001008,7.61e-4,FALSE
2005,32,5.79e-4,9.19e-4,7.52e-4,FALSE
2005,33,5.68e-4,9.7e-4,7.74e-4,FALSE
2005,34,5.72e-4,0.001189,8.88e-4,FALSE
2005,35,5.84e-4,0.001135,8.64e-4,FALSE
2005,36,7.18e-4,0.00142,0.001073,FALSE
2005,37,7.36e-4,0.00148,0.001109,FALSE
2005,38,8.24e-4,0.001738,0.001292,FALSE
2005,39,9.15e-4,0.001874,0.00141,FALSE
2005,40,8.9e-4,0.00217,0.001542,FALSE
2005,41,8.77e-4,0.002211,0.001563,FALSE
2005,42,0.001083,0.00272,0.001928,FALSE
2005,43,0.001118,0.002779,0.001967,FALSE
2005,44,0.00123,0.003297,0.002274,FALSE
2005,45,0.001335,0.003758,0.002558,FALSE
2005,46,0.001369,0.00398,0.002696,FALSE
2005,47,0.001652,0.004383,0.003047,FALSE
2005,48,0.001819,0.004563,0.003216,FALSE
2005,49,0.00168,0.005126,0.003413,FALSE
2005,50,0.002017,0.005617,0.003828,FALSE
2005,51,0.001901,0.00591,0.003925,FALSE
2005,52,0.002302,0.006315,0.004313,FALSE
2005,53,0.002468,0.007276,0.004879,FALSE
2005,54,0.002529,0.007373,0.004956,FALSE
2005,55,0.002743,0.008213,0.005479,FALSE
2005,56,0.003041,0.008529,0.00578,FALSE
2005,57,0.003096,0.009084,0.006061,FALSE
2005,58,0.003682,0.009908,0.006751,FALSE
2005,59,0.003668,0.009766,0.006664,FALSE
2005,60,0.0045,0.01223,0.008225,FALSE
2005,61,0.004693,0.01214,0.008225,FALSE
2005,62,0.005419,0.015099,0.010001,FALSE
2005,63,0.005969,0.016041,0.010712,FALSE
2005,64,0.006515,0.017514,0.011618,FALSE
2005,65,0.007384,0.01957,0.01297,FALSE
2005,66,0.008195,0.02151,0.014235,FALSE
2005,67,0.009291,0.023005,0.015433,FALSE
2005,68,0.010755,0.026329,0.017614,FALSE
2005,69,0.012101,0.029194,0.019462,FALSE
2005,70,0.013714,0.032588,0.021647,FALSE
2005,71,0.0162,0.035945,0.024277,FALSE
2005,72,0.018469,0.037975,0.0262,FALSE
2005,73,0.02121,0.043405,0.029689,FALSE
2005,74,0.023247,0.045966,0.031496,FALSE
